Term,Definition
advocate," 擁護、支持、鼓吹
v. speak publicly in favor of (sth); recommend; support
"
equivocal," 模稜兩可的、不明確的
adj. having a double or doubtful meaning; ambiguous
"
abet," 教唆、唆使、煽動
[類] foment, instigate, provoke
v. sb (in sth) help or encourage sb to commit an offence or do sth wrong
"
allay," 減輕、使平靜
[類] mitigate
v. make (sth) less' relieve
"
antidote," 矯正方法、解毒藥、解毒劑
n. substance that acts against the effects of a poison or disease
"
arduous," 費力的、艱難的
[類] difficult, onerous, laborious
adj. needing much effort or energy; laborious
"
compromise," 妥協、折衷、危急
[類] impair 損害、削弱
n. gibing up of certain demands by each side in a dispute, so that an agreement may be reached which satisfies both to some extent
"
contempt," 輕視、蔑視
[類] disregard
n. (for sb/sth) feeling that sb/sth is completely worthless and cannot be respected
"
debunk," 揭穿、拆去...的假面具
v. show that the reputation of is undeserved or exaggerated
"
exemplify," 是...的典型
v. be a typical example of (sth)
"
feign," 假裝
[類] dissemble, pretend
[反] a. unfeigned 真誠的
v. pretend
"
forage," 糧草、搜尋、掠奪
n. food for horses and cattle
"
furtive," 秘密的、鬼鬼祟祟的
[類] surreptitious, stealthy, sneaky, shifty
adj. done secretly and quietly so as not to be noticed
"
futile," 無意的、無用的
"
layperson," 門外漢、外行
"
mercurial," 反覆無常的
adj. (of people or their moods, etc) often changing
"
override," 否決、不顧、使無效
[類] trample (踩踏、無視)
v. disregard or set aside (sb's opinions, etc)
"
persistent," 堅持不懈的
adj. refusing to give up
"
plaintive," 悲傷的、哀傷的
[類] melancholy
adj. sounding sad; sorrowful
"
rebuff," 回絕、斷然拒絕
[類] snub, reject, sharply
n. unkind or contemptuous refusal or rejection (of an offer, request, friendly gesture, etc); snub
"
redeem," 贖回
v. sth (from sb/sth) buy back sth by paying the required sum; recover sth
"
revere," 尊敬、推從
v. sb/sth (for sth)(fml) feel deep respect or (esp religious) veneration for sb/sth
"
savor," v. 細細品嚐n. 風味
enjoy; have a distinctive flavor, smell, or quality
"
scruple," 謹慎小心、顧忌猶豫
n. feeling that prevents one from doing or allowing sth that one thinks may be wrong
"
tedious," 冗長乏味的、使人厭煩的
adj. tiresome because of being too long, slow or dull; boring
"
reactionary," 保守的、反動的
n. adj opposing (esp political) progress or reform
"
nostalgia," 思鄉病
n. sentimental longing for things that are past
"
exalt," 讚揚、歌頌
[類] extol, laud
[反] lambaste(嚴厲指責), pan(嚴厲批評), deprecate(輕視、抗議), excoriate(批判), disparage(藐視、貶損), vilify(毀謗)
v. make (sb) higher in rank or greater in power
"
unanimous," 全體一致的
adj. (in sth) all agreeing on a decision or an opinion
"
adaptive," 適應的
"
authentic," 可信的、真實的、可靠的
adj. known to be true or genuine
"
abate," 減輕、減少
[類]n. abatement
v. make or become less
"
hyperbole," 誇張(法)
n. exaggerated statement that is made for special effect and is not meant to be taken literally
"
accentuate," 強調、以重音讀出、加重音符號於
v. make very noticeable or prominent; emphasize
"
cavalier," 騎士、武士、滿不在乎的
n. Cavalier supporter of Charles I in the English Civil War
"
deceive," 欺騙
[類] n. deceit 欺騙、詭計
v. sb/oneself make sb believe sth that is not true (so as to make him do sth); deliberately mislead sb
"
supercilious," 目中無人的
adj. thinking or showing that one thinks one is better than other people; arrogant and disdainful
"
precipitate," 降水、加速、魯莽的
v. cause (sth) to happen suddenly or soon(er); hasten
"
clairvoyance," 超人的洞察力
[類] a. clairvoyant
n. supposed power of seeing in the mind either future events or things that exist or are happening out of sight
"
cognitive," 認知的、感知的
adj. of or relating to cognition
"
irreconcilable," 不能調和的、矛盾的
adj. (with sb/sth)(of people) that cannot be reconciled
"
credulous," 輕信的、易信的
adj. too ready to believe things
"
discreet," 謹慎地、慎重的、考慮周到的
adj. careful or showing good judgment in what one says or does; not too obvious
"
cumbersome," 笨重的、難處理的
adj. heavy and difficult to carry, wear, etc
"
succumb," 屈從、因...死亡
v. (fml) stop resisting (temptation, illness, attack, etc); yield
"
discursive," 散漫的、無層次的、東拉西扯的
adj. wandering from one point to another
"
subdue," 征服、壓制、減輕
v. bring under control by force; defeat
"
egalitarian," 主張人人平等的
n. adj showing or holding a belief in equal rights, benefits, and opportunities for everybody
"
erratic," 反覆無常的、古怪的
adj. irregular or uneven in movement, quality or behavior; unreliable
"
affable," 和藹可親的、容易親近的
adj. polite and friendly
"
facile," 容易做的、膚淺的
adj. easily obtained or achieved (and so not highly valued)
"
fervent," 炙熱的、熱情的
adj. showing warmth and sincerity of feeling; enthusiastic; passionate
"
configuration," 結構、配置、輪廓
n. arrangement of the parts of sth; shape or outline
"
refute," 反駁、駁斥
v. prove to be wrong
"
gratify," 使高興、使滿足
v. (fml) give pleasure or satisfaction to (sb)
"
exhilarate," 使振奮、使高興
v. make feel very happy or lively
"
humility," 謙遜、謙恭
n. humble attitude of mind; modesty
"
predilection," 偏袒、愛好
n. (for sth) special liking (for sth); preference
"
prolix," 囉唆的、冗長的
[類] verbose
adj. (of a speech, writer, etc) using too many words and so boring to listen to or read
"
underline," 在...之下畫線(表重要)
"
eclipse," 日蝕、月蝕、黯然失色、衰退
n. blocking of the light of the sun or of the moon ( where the earth's shadow falls on it)
"
illusory," 幻覺的、夢幻似的、迷惑人的
based on or producing illusion: deceptive
"
lackluster," 無光澤的、呆滯的
lacking brilliance or vitality; lacking luster or shine
"
remarkable," 值得注意的、卓越的
adj. worth noticing or unusual; exceptional
"
remedy," 治療、治療法、藥物
n. (fml) treatment, medicine, etc that cures or relieves a disease or pain
"
symmetry," 對稱、均衡
n. exact match in size and shape between the two halves of sth
"
prominent," 突出的、顯著的、卓越的
adj. jutting out,; projecting
"
communal," 全體共有的、共享的
adj. for the use of all; shared
"
misnomer," 人名誤載、寫錯姓名
n. wrong use of a name, word or description
"
nostalgia," 鄉愁
n. sentimental longing for things that are past
"
exonerate," 免除責任、宣布無罪
to relieve of a responsibility, obligation, or hardship
"
synoptic," 概要的
adj. of or forming a synopsis
"
ornamental," 裝飾的、做裝飾用的
"
imperative," 必要的、緊急的
adj. very urgent or important; needing immediate attention
"
parody," 模仿性嘲弄文章或表演、拙劣的模仿
n. (piece of) speech, writing or music that imitates the style of an author, composer, etc in an amusing and often exaggerated way; comic imitation
"
peripatetic," 到處走的、流動的
[類] itinerant
adj. going from place to place
"
dispel," 驅散、消除
v. drive (sth) away; cause to vanish
"
penchant," 愛好、嗜好
[反] aversion(厭惡)
n. for sth liking or taste for sth
"
euphoria," 心情愉快、興奮
n. intense feeling of happiness and pleasant excitement
"
depict," 描繪、描畫
v. show (sb/sth) as a picture; portray
"
placid," 安靜的、和平的
adj. calm and peaceful; undisturbed
"
platitude," 平凡、陳腔濫調
[類] triteness
n. commonplace remark or statement, esp when it is said as if it were new or interesting
"
proprietary," 私有的
adj. (of goods) manufactured and sold by a particular firm, use under patent
"
proximity," 接近、鄰近
n. (to sth) nearness in space or time; closeness
"
repugnant," 厭惡的、反感的
adj. (fml) causing a feeling of strong opposition or dislike; abhorrent
"
compulsory," 強制性的、命令性的
adj. that must be done; required by the rules, etc; obligatory
"
acquiescence," 默認、默許
"
quiescent," 靜止的、沈默的
adj. inactive; passive; quiet
"
tranquil," 平靜的、安靜地、安寧的
adj. calm, quiet and undisturbed
"
riveting," 有吸引力的、引人入勝的
[類] engrossing
adj. that holds the attention; enthralling
"
robust," 強健的、茁壯的、健全的
adj. vigorous; healthy and strong
"
arrogant," 傲慢的、自大的
adj. behaving in a proud and superior manner; showing too much pride in oneself and too little consideration for others
"
surrogate," 代替品、代理人
n. (fml) person or thing that acts or is used instead of another; substitute
"
sacrosanct," 神聖不可侵犯的
adj. considered too important to be changed, argued about, etc
"
prescription," 命令、指示、規定、法規
n. doctor's written instruction for the composition and use of a medicine
"
supersede," 淘汰、取代
v. take the place of be introduced so as to be used instead of (sth/sb)
"
disseminate," 散步、傳播
v. spread widely
"
dissipate," 使驅散、浪費
v. scatter or vanish
"
somnolent," 想睡的、催眠的
[類] lethargic
adj. almost asleep; sleepy; drowsy
"
soporific," 令人想睡的
n. adj. causing sleep
"
speculative," 投機的、思索的、推測的
adj. concerned with or formed by speculation
"
aspersion," 毀謗、重傷
[類] defamation
slanderous remark
"
understated," 輕描淡寫的、低調的、壓抑的
understate: to state (sth) in restrained terms, often to obtain an ironic effect
"
outstrip," 超過、跑過
v. run faster than (sb in a race) and leave him behind
"
resurge," 再起、復活、復甦
rare
"
abstain," 禁絕、放棄
v. keep oneself from doing or enjoying sth, esp from taking alcoholic drinks; refrain
"
tenacious," 堅持的、頑強的、固執的
adj. sticking or clinging firmly together or to an object
"
intransigent," 不妥協的、不讓步的
adj. unwilling to change one's views or be co-operative; stubborn
"
utilitarian," 功利主義的
adj. designed to be useful rather than luxurious or decorative, etc; severely practical
"
vacuous," 發呆的、愚笨的
adj. showing or suggesting absence of thought or intelligence; inane
"
veracious," 誠實的、真實的
[類] n. veracity 誠實、真實
adj. (of a person) truthful
"
verisimilitude," 逼真
n. appearance or semblance of being true or real
"
adversary," 敵手、對手
n. opponent n a contest; enemy
"
avert," 避免、防止、不開
v. sth turn sth away
"
subvert," 顛覆、推翻
v. destroy the authority of
"
versatile," 多才多藝的、多用途的
adj. turning easily or readily from one subject, skill or occupation to another
"
revile," 辱罵、謾罵、痛斥
v. criticize (sb/sth), in angry and abusive language
"
envision," 想像、預想
to picture to oneself
"
convoluted," 費解的、旋繞的
[類] coiled, spiraled(費解的), intricate(錯綜複雜的)
adj. coiled, twisted
"
promulgate," 散佈、宣揚
v. make (sth) widely known; disseminate
"
albeit," 儘管
conj. although
"
ascetic," 禁慾主義者、苦行者
adj. not allowing oneself pleasures and comforts; having or involving a very austere life
"
atodds," 不同於
"
berate," 痛罵、訓斥
v. scold sharply
"
caterwaul," 嚎叫、尖叫、貓叫春
"
coerce," 強制、迫使
v. sb (fml) make sb do sth by using force or threats; compel sb to do sth
"
cogent," 令人信服的、有說服力的
[類] convincing, compelling
adj. convincing; strong
"
dabble," 涉獵、淺嚐
v. sth splash (hands, feet, etc) around in water
"
decimate," 大量毀壞
v. kill or destroy a large part of (sth)
"
decry," 責難、誹謗
[類] denigrate, deprecate
[反] acclaim, applaud
v. sb/sth (as sth) speak critically of sb/sth to make him/it seem less valuable, useful, etc; disparage sb/sth
"
defy," 反抗、違抗、蔑視
[類] a. defiant 挑釁的、目中無人的
v. disobey or refuse to respect (sb, an authority, etc)
"
edify," 教化、訓誨
[類] didactic (教化的)
v. (fml or joc) improve the mind or character of (sb_
"
encomium," 誇獎、讚揚
[類] eulogy, panegyric(頌揚的)
[反] diatribe(惡罵、誹謗)
n. (fml) very high praise in speech or writing
"
espouse," 支持、擁護
[類] support, advocate
v. give one's support to (a cause, theory, etc)
"
extol," 讚美、頌揚
[類]laud, exalt
[反]lambaste(指責), pan(譴責)
v. sb (as sth) (fml) praise (sb/sth) highly
"
fleeting," 轉瞬的、短暫的
adj. passing quickly; lasting only a short time
"
foreshadow," 預示、預兆
[類] presage
v. be a sign or warning of
"
fortuitous," 偶然的
adj. happening by chance or coincidence
"
honorific," 表示尊敬的
"
irenic," 和平的、
"
jeopardize," 危急
put in danger
"
latent," 潛伏的、潛在的
adj. existing but not yet active, developed or visible
"
parochial," 狹義的、地方性的
[類] provincial, narrow
adj. of or relating to a church parish
"
rarefied," 只有一小群人知道的、稀薄的
"
scathing," 刻薄的、嚴厲的
adj. severe, harsh
"
shrewd," 善於判斷的、精明的、敏銳的
adj. having or showing good judgement and common sense; astute
"
snobbery," 勢利
"
sound," 健全的、完好的
"
spurn," 屏棄、藐視
v. reject or refuse scornfully or contemptuously
"
substantial," 大量的、實在的
adj. large in amount; considerable
"
trifling," 不重要的、微不足道的
adj. unimportant; trivial
"
tyranny," 暴政、專利
n. cruel, unjust or oppressive use of power or authority
"
universality," 普遍性
"
wane," 虧缺、摔落、消失
[類] a. waning 衰退的 = declining
v. show a gradually decreasing area of brightness after being full
"
acerbic," 苦澀的、刻薄的
adj. tasting sour; harsh in language or temper
"
acumen," 精明
n. ability to understand and judge things quickly and clearly; shrewdness
"
agitated," 激動地、不安的
adj. troubled or excited
"
agony," 極大痛苦的
n. extreme mental or physical suffering
"
protagonist," 主驗、主角、主唱者
n. (fml) chief character in a drama; hero
"
peregrinate," 遊歷、旅行
"
alienation," 疏遠、離間
"
alternative," 輪流的、交替的
adj. available in place of sth else; other
"
amiable," 和藹的、親切的
adj. showing and inspiring friendliness; pleasant and good-tempered
"
enamored," 迷戀的
adj. filled with love and desire
"
animadvert," 批評、非難
v. (fml) make (esp critical) remarks about sb/sth
"
animosity," 憎惡、仇恨
n. (between A and B) (instance of) strong dislike or of hostility
"
perennial," 中年的、永久的
adj. lasting for a long time
"
antiquated," 過時的、陳舊的、老式的
adj. (of things) out of date, obsolete
"
asteroid," 小行星
n. any of many small planets revolving round the sum, esp between the orbits of Mars and Jupiter
"
banish," 放逐
v. sb send sb away, esp out of the country, as a puhishment
"
base," n. 基礎; a. 卑賤的
[反] a. baseless 無事實根據的
n. lowest part of sth, esp the part on which it rests or is supported
"
beneficent," 慈善的、仁愛的、有意的
adj. showing active kindness; generous; charitable
"
benevolent," 善心的、人心的
adj. being, or wishing to be, kind, friendly, and helpful
"
blithe," 無憂的、快樂的
adj. happy and carefree' casual
"
bombastic," 誇誇其談的
[類] pompous
adj. pompous and empty
"
recalcitrant," 頑抗的、難以控制的
[類] unruly, intransigent, refractory
[反] docile, tractable
adj. resisting authority or discipline; disobedient
"
incessant," 不停地、連續的、連續不斷的
[類] constant, unremitting
[反] sporadic(偶爾發生的)
adj. not stopping; continual
"
unprecedented," 前所未有的
adj. without precedent; never having happened, been done or been known before
"
eccentric," 古怪的、反常的
adj. unusual; peculiar; not conventional or normal
"
susceptible," 易受影寫的、易被感動的
adj. to sth easily influenced or harmed by sth
"
chronological," 依時間前後排列而記載的
adj. arranged in the order in which they occurred
"
exorcise," 驅魔、除去(壞念頭)
drive out evil spirits
"
decipher," 解開(謎團)、破譯(密碼)
v. succeed in understanding
"
insouciance," 無憂無慮、不注意、不在乎
[類] nonchalance
n. state of being unconcerned, esp in a light-hearted way; nonchalance
"
proclaim," 宣告、宣布
v. make known officially or publicily; announce
"
disinclination," 不情願、不願意
[反] inclination 傾向、意願
n. (fml) unwillingness; reluctance
"
proclivity," 傾向
[類] inclination
n. (fml) natural inclination to do sth (esp sth bad)' tendency
"
recognize," 認得、認出
"
cosmopolitan," 世界主義者、四海為家的人
"
autocracy," 獨裁政府
n. government by one person with unlimited power; despotism
"
indiscriminate," 不加區別地、無差別的、不分皂白的
[類] a. discriminating 有辨別能力的、有缺別的
adj. (in sth) acting without careful judgement
"
incubate," 孵卵、孵化
"
covet," 貪求、揶揄
v. want very much to possess (esp sth that belongs to sb else)
"
cursory," 粗略的、草率的
adj. done quickly and not thoroughly; (too) hurried
"
discourse," 演講、論述
n. lengthy and serious treatment of a subject in speech or writing
"
decorum," 端莊、彬彬有禮、合宜
n. dignified and socially acceptable behavior
"
endemic," (疾病等)地方性的、當地的
n. adj. that is regularly found in a particular country or area, or among a particular group of people
"
divergent," 分歧的、相異的
"
dubious," 有問題的
adj. not certain and slightly suspicious about sth; doubtful
"
duplicity," 欺騙行為、奸詐行徑
n. deliberate deception
"
docile," 馴服的、易駕馭的
adj. easy to control
"
doctrinaire," 教條的、迂腐的
adj. rigidly applying a theory with no concern for practical problems
"
indolent," 懶惰的
"
dormant," 休眠的、靜止的
adj. temporarily inactive
"
conducive," 有助的、有益的、促成的
adj. to sth allowing or helping sth to happen
"
endure," 忍受、忍耐
v. suffer or undergo patiently
"
obdurate," 固執的、頑固的
adj. impossible to change; stubborn
"
equilibrium," 平衡
n. state of being balanced
"
inert," 惰性的、行動遲鈍的
adj. without power to move or act
"
quintessential," 精髓的、典型的
"
pitfall," 陷阱、圈套
n. unsuspected danger or difficulty
"
fanciful," 幻想的、奇特的
"
forfeit," 喪失、被罰沒收
v. lose or give up (sth) as a consequence of or punishment for having done sth wrong, or in order to achieve sth
"
infelicitous," 不幸的、不適當的
[類] n. infelicity
[反] felicitous
not appropriate in application or expression
"
confess," 承認、公認
v. (to sth/doing sth); (sth) (to sb) say or admit, often formally (that one has done wrong, committed a crime, etc)
"
munificent," 慷慨的、豐厚的
adj. extremely generous; (of sth given) large in amount or splendid in quality
"
diffident," 缺乏自信的、懦怯的、羞怯的
adj. not having or showing much belief in one's own abilities; lacking self-confidence
"
figurative," 比喻的、象徵
adj. (of words) used in an imaginative or a metaphorical way rather than literally
"
confine," 限制、使侷限
v. sb/sth keep (a person or an animal) in a restricted space
"
flamboyant," 豔麗的、炫耀的
[類] ornate
adj. showy, very confident and extravagant
"
conflate," 合併
v. combine into one
"
formulaic," 公式的、刻板的
"
fractious," (脾氣)易怒的、好爭吵的
adj. irritable; bad-tempered
"
refractory," 難醫治的、倔強的、反應遲鈍的
adj. difficult to control or discipline; wilful or unmanageable
"
suffrage," 選舉權、投票權
n. right to vote in political elections
"
fraudulent," 欺騙的、不誠實的
adj. deceitful or dishonest
"
effrontery," 厚顏無恥、魯莽
n. boldness or rudeness without shame; impertinence
"
fulminate," 大聲斥責
v. protest strongly and loudly
"
founder," 沈默、失敗、破滅
"
effusive," 熱情的、感情洋溢的
[類] gushy
[反] reticent(沈默的)
adj. showing (too much) feeling; too emotional
"
infuse," 灌輸、鼓勵
v. sth into sb/sth; sb/sth with sth put into sb/sth; fill sb/sth with (a quality)
"
refutable," 可駁倒的
"
generic," 通稱的、種類的
adj. shared by or including a whole group or class; not specific
"
degenerate," 惡化、衰退、退化
v. (into sth) pass into a worse physical, mental or moral state than one which is considered normal or desirable
"
indigenous," 土產的、本地的、天生的
adj. (fml) belonging naturally (to a place); native
"
ingest," 嚥下、吞下
v. take (food, etc) into the body, typically by swallowing
"
ingrain," 使...根深蒂固
"
aggravate," 加重、惡化
v. make worse or more serious
"
coherent," 一致的、協調的
adj. connected logically or consistent; easy to understand; clear
"
hortative," 勸告的、獎勵的
giving exhortation; advisory
"
humble," 卑微的、簡陋的、謙虛的
adj. (of a person or his words or actions) having or showing a low or modest opinion of one's own importance; not proud
"
itinerant," 巡迴的、遊歷的
adj. traveling from place to place
"
disjunctive," 分離的、相反的
adj. (of a conjunction) showing opposition or contrast between tow ideas (db either ... or), either... or
"
abjure," 發誓放棄、棄絕
v. promise or swear to give up (a claim, an opinion, a belief, etc); renounce formally
"
conjure," 想起、變出
v. do clever tricks which seem magical, esp with quick movements of the hands
"
jubilation," 歡慶、慶祝活動
n. great happiness, esp because of a success
"
rejuvenate," 使年輕、使恢復精神
v. restore youthful appearance, strength, etc to
"
allegiance," 忠誠、忠貞
[類] devotion, fealty, piety
n. (to sb/sth) support of or loyalty to a government, ruler, cause, etc
"
legitimate," 合法的、正當的
adj. in accordance with the law or rules; lawful
"
apologist," 辯護者、護教論者
n. person who defends a doctrine by logical argument
"
eloquence," 雄辯、口才
n. expressive language, esp to impress or persuade an audience
"
elucidate," 闡明、說明
v. make (sth) clear; explain
"
disillusioned," 幻想破滅的、醒悟的
"
ludicrous," 滑稽的、荒唐可笑的
adj. causing laughter; ridiculous; absurd
"
malady," 病、疾病
"
malevolent," 有惡意的、惡毒的
adj. wishing to do evil or cause harm to others' spiteful
"
manipulate," (熟練的)操作、運用
v. control or handle with skill
"
premeditate," 預先考慮、預謀
"
commensurate," 同樣大小的、相稱的
adj. (fml) in the right proportion (to sth); appropriate
"
imminent," 即將發生的、逼近的
adj. about to happen; likely to happen very soon
"
preeminent," 卓越的、顯著的
[類] outstanding, supreme
having paramount rank, dignity, or importance; outstanding
"
mire," n. 泥淖、污泥 v. 使陷入困境
n. swampy ground or bog; soft deep mud
"
dismiss," 讓...離開、把...打發走
v. sb remove sb (esp an employee) from a position
"
unremitting," 不間斷的、持續的
adj. never relaxing ceasing; incessant; persistent
"
moderate," 適度的、有節制的
adj. average in amount, intensity, quality, etc; not extreme
"
outmoded," 老式的、過時的
adj. no longer fashionable
"
mordant," 諷刺的、尖酸的
adj. very sarcastic; biting
"
remorse," 懊悔、悔恨
n. sense of deep and bitter regret for having done sth wrong
"
tantamount," 同等於、相當於
adj. to sth equal in effect to sth; as good as sth
"
negligent," 疏忽的、粗心的
adj. not giving proper attention or care to sth; careless
"
negligible," 可以忽略的、微不足道的
adj. of little importance or size; not worth considering
"
denigrate," 污衊、誹謗
v. claim that (sb/sth) is inferior, worthless, etc; belittle
"
pernicious," 有毒的、致命的
adj. (to sb/sth) having a very harmful or destructive effect (on sb/sth)
"
normative," 合乎規範的、按規定準則的
adj. describing or seeing standards or rules of language, behavior, etc, which should be followed
"
novelty," 新奇、新奇的事物
n. quality of being novel; newness; strangeness
"
annihilate," 殲滅、消滅、徹底擊潰、毀滅
v. destroy completely
"
ominous," 預兆的、不詳的
adj. suggesting that sth bad is about to happen; threatening
"
optimal," 最佳的、最理想的
"
opulent," 富饒的、華麗的、奢侈的
adj. having or showing sings of great wealth
"
inexorable," 不為所動的、堅決不變的
adj. continuing unstoppable; relentless
"
subordinate," 次要的、下級的
adj. (to sb) lower in rank or position
"
transparent," 透明的、清澈的
adj. allowing light to pass through so that objects behind can be seen clearly
"
counterpart," 相對應的人或物
n. person or thing that corresponds to or has the same function as sb or sth else
"
penalty," 處罰、刑罰
n. punishment for breaking a low, rule or contract
"
compendium," 簡要、概略
[類] abstract
n. (of sth) brief but full account; summary
"
pensive," 沈思的、愁眉苦臉的
adj. thinking deeply about sth, esp in a sad or serious way
"
impetus," 推動力、刺激
n. thing that encourages a process to develop more quickly
"
ephemeral," 朝生暮死的、生命短暫的
[類] transitory, transient
adj. living, lasting, etc for a very short time
"
aphorism," 格言、警句
[類] maxim, dage, axiom, dictum
n. short wise saying,; maxim
"
metaphor," 隱喻
[類] a. metaphorical
n. use of a word or phrase to indicate sth different from (though related in some way to) the literal meaning
"
piety," 孝順、孝敬、前程
n. devotion to God and respect for religious principles; being pious
"
placate," 撫慰、平息
v. make less angry; soothe or pacify
"
supplant," 排擠、取代
v. take the place of (sb/sth); replace
"
complementary," 補充的、補足的
"
compliance," 遵從、順從
n. action in accordance with a request or command; obedience
"
duplicitous," 搞兩面派的、奸詐的
"
extrapolate," 推斷
v. sth (fml) (mathematics) calculate (an unknown quantity) approximately from known values or measurements
"
cosmopolitan," 世界性的、國際性的
"
ponderous," 笨重的、笨拙的
[類] lively(輕快活潑的)
adj. slow and awkward because of great weight
"
opportune," 恰好的、適宜的
adj. (of time) suitable or favorable for purpose
"
opportunistic," 機會主義的、投機取巧的
"
purport," 聲稱、意旨
n. (fml) general meaning or intention (of sth)
"
posit," 斷定、認為
v. suggest or assume (sth) as a fact; postulate
"
potent," 強而有力的、有影響力的
[反] impotent
adj. (of drugs, etc) having a strong effect
"
misapprehension," 誤會、誤解
n. under a misapprehension not understanding correctly
"
primitive," 原始的、遠古的、基本的
adj. of or an early stage of social development
"
probity," 誠實、連結
[類] honesty, character, decency, goodness
n. quality of being honest and trustworthy; integrity
"
apropos," 適當的、切題的、中肯的
adv. adj. appropriate or relevant to what is being said or done
"
appropriate," adj. 適當的、恰當的、相稱的 v. 挪用、盜用
[類] pilferage 行竊、偷盜
adj. suitable; right and proper
"
propriety," 禮節、適當
n. state of being correct in one's social or moral behavior
"
prosaic," 乏味的、散文的
adj. uninspired; unimaginative
"
prose," 散文、散文體
n. written or spoken language that is not in verse form
"
approximate," 大約的、估計的
adj. almost correct or exact but not completely so
"
impugn," 指責、對...表示懷疑
v. express doubts about (sth)
"
compunction," 懊悔、良心不安
n. (fml)(use in negative sentences) feeling of guilt or regret for one's action
"
punctilious," 精密細心的、一絲不苟的
adj. very careful to carry out one's duties, etc correctly' very attentive to details of behavior or ceremony
"
eradicate," 根除、撲滅
v. destroy completely; put an end to (sth)
"
rapacious," 強奪的、貪婪的
adj. greedy, esp for money ; grasping
"
rectitude," 正直、公正
n. moral correctness or straightforwardness; honesty
"
resurrect," 使復活、使復甦
[類] reanimate, recharge, regenerate
v. bring (sb) back to life again
"
surreptitious," 秘密的、偷偷摸摸地、鬼鬼祟祟的
adj. done or acting secretly or stealthily
"
ridiculous," 荒謬的、可笑的
adj. deserving to be laughed at; absurd
"
rigor," 嚴格、嚴苛、精確
severity
"
rigorous," 嚴格的、嚴峻的
adj. severe; strict
"
prerogative," 特權
n. right or privilege, esp one belonging to a particular person or group
"
assail," 抨擊、猛攻
[類] adj. assailable 易受攻擊的
v. sb (fml) attack sb violently or repeatedly
"
sanctimonious," 假裝虔誠的、假裝聖潔的
adj. showing that one feels morally better than other people
"
sanction," 認可、批准、國際制裁
n. permission or approval for an action, a change, etc
"
insatiable," 不知足的、貪得無厭的
adj. that cannot be satisfied; very greedy
"
escalate," 升級、擴大、上升
v. increase or develop by successive stages; become or make (sth) more intense
"
transcribe," 抄寫、謄寫
v. sth copy sth in writing
"
inscrutable," 高深莫測的、神秘的
adj. that cannot be understood or known; mysterious
"
bisect," 把...一分為二、二等分某物
"
dissemble," 隱藏、掩飾
v. hide or disguise (one's true thoughts and feelings); dissimulate
"
conservative," 保守的、守舊的
adj. opposed to great or sudden change
"
undeserved," 不應得的
adj. not fair or just
"
insidious," 隱藏詭計的
adj. spreading or acting gradually and unnoticed but with harmful effects
"
assimilate," 同化、吸收
v. (cause sth to) become absorbed into the body after digestion
"
dissonant," 不和諧的、不一致的
adj. not harmonious; discordant
"
sonorous," 響亮的、洪亮的
adj. having a full deep sound
"
auspicious," 吉兆的、吉利的
[類] adj. propitious 順利的、吉祥的
adj. showing signs of future success; favorable; promising
"
respect," 敬重、尊敬、關於、涉及
n. admiration felt or shown for a person or thing that has good qualities or achievements; regard
"
retrospective," 回顧的、追溯的
adj. looking back on the past
"
desperate," 情急拼命地、鋌而走險的
adj. feeling or showing great despair and ready to do anything regardless of danger
"
disperse," 消散、驅散
v. go in different directions; scatter; break up
"
circumstantial," 與情況有關的、依情況而定的
adj. giving full details
"
stalwart," 堅決地、健壯的
adj. (of a person) strong and sturdy
"
static," 靜態的、呆板的
adj. not moving or changing; stationary
"
stilted," 呆板的、生硬的、不自然的
adj. (of a manner of talking, writing, behaving, etc) stiff and unnatural; artificial
"
instigate," 發起、煽動
v. cause to begin or happen; initiate
"
constrain," 強迫、迫使
v. make (sb) do sth by strong (moral) persuasion or by force
"
strip," 剝去、剝光
v. sth (from/off sth/sb); sth/sb (of sth); sth (off) take off (clothes, coverings, parts, etc) from sb/sth
"
catastrophe," 突如其來的大災難
n. sudden great disaster or misfortune
"
construe," 解釋、理解為
v. sth (fml) explain the meaning of (words, sentences, actions, etc); interpret sth
"
presume," 相信、推測、自作主張、放肆
[類] suppose, assume
"
contenance," 面部表情、面容、贊成、支持
n. (expression on sb's) face
"
maintain," 堅持、主張、維護、維持
v. sth cause sth to continue; keep sth in existence at the same level, standard, etc
"
impertinent," 粗魯無禮的、不切題的、不中肯的
[類] insolent, impudent
adj. not respectful; rude
"
tenable," 站得住腳的、經得起批判的
adj. that can be defended successfully against opposition or attack
"
intemperance," 放縱、不節制
immoderate action or indulgence, as of the appetites
"
contemplate," 沈思、凝視
[類] n. contemplation adj. contemplative
v. look at or consider (sth) thoughtfully
"
attenuate," 辯駁、變弱
[類] n. attenuation
v. make (sth/sb) thin or slender
"
tenuous," 稀薄的、空洞的
adj. thin; slender
"
interminable," 無盡頭的
adj. going on too long, and use therefore annoying or boring
"
deterrent," 威懾的、遏制的
n. adj. that deters or is meant to deter
"
dichotomy," 分裂、二分法
n. (fml) separation into or between two groups or things that are opposed, entirely different, etc
"
detract," 貶低、誹謗
"
protract," 延長、拖長
v. make (sth) last a long time or longer; lengthen or prolong
"
retract," 縮回、收回
v. withdraw (a statement, charge, etc)
"
tractable," 易於駕駛的、溫順的
[類] docile
[反] recalcitrant, intransigent
adj. easily guided, handled or controlled; docile
"
