ID,Term,NewDefinition,Scores,AccessTime
222,apt,"恰當的
合適的
有…傾向的
聰明的","0.8928584704
0.8928584704
0.8928584704
0.8928584704","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
223,embellish,"裝飾
美化
添油加醋","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
224,recapitulate,"概括
總結
重述要點","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
225,captious,"吹毛求疵的
愛挑剔的","0.9096832
0.9096832","2025-06-28
2025-06-28"
226,excavate,"挖掘
開鑿
挖出（古物等）","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
227,censorious,"嚴厲批評的
苛責的","0.8940419818
0.8940419818","2025-06-22
2025-06-22"
228,anachromistic,"時代錯誤的
不合時宜的","0.747495936
0.747495936","2025-06-22
2025-06-22"
229,encumber,"阻礙
妨礙
使負擔","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
230,dichotomy,"二分法
對立
一分為二","0.8928584704
0.8928584704
0.8928584704","2025-06-22
2025-06-22
2025-06-22"
231,dogmatism,"教條主義
武斷","0.9096832
0.9096832","2025-06-28
2025-06-28"
232,adequate,"足夠的
充足的
合格的","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
233,feckless,"無效的
無能的
不負責任的","0.8764744704
0.8764744704
0.8764744704","2025-06-28
2025-06-28
2025-06-28"
234,grandiose,"宏偉的
堂皇的
誇大的
華而不實的","0.747495936
0.747495936
0.747495936
0.747495936","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
235,incongruous,"不協調的
不相稱的
不適宜的","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
236,emulate,"模仿
努力趕上
競爭","0.8928584704
0.8928584704
0.8928584704","2025-06-22
2025-06-22
2025-06-22"
237,judicious,"明智的
審慎的
有判斷力的","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
238,mandate,"授權
委任
命令
職權範圍","0.9096832
0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
239,mandatory,"強制性的
義務的
命令的","0.8928584704
0.8928584704
0.8928584704","2025-06-22
2025-06-22
2025-06-22"
240,mendacious,"說謊的
虛假的
不真實的","0.8913973453
0.8913973453
0.8913973453","2025-06-22
2025-06-22
2025-06-22"
241,abnegate,"放棄
捨棄
拒絕","0.8928584704
0.8928584704
0.8928584704","2025-06-22
2025-06-22
2025-06-22"
242,notoriety,"惡名昭彰
臭名","0.9096832
0.9096832","2025-06-28
2025-06-28"
243,optimistic,"樂觀的
樂觀主義的","0.9096832
0.9096832","2025-06-28
2025-06-28"
244,impassioned,"熱情的
充滿激情的
激昂的","0.8928584704
0.8928584704
0.8928584704","2025-06-22
2025-06-22
2025-06-22"
245,expedient,"權宜之計的
有利的
合適的
權宜之計","0.9096832
0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
246,compelling,"引人注目的
令人信服的
強制的
很有說服力的","0.9096832
0.9096832
0.9096832
0.9096832","2025-03-04
2025-03-04
2025-03-04
2025-03-04"
247,implacable,"難以和解的
無法平息的
不屈不撓的
無情的","0.878017024
0.878017024
0.878017024
0.878017024","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
248,duplicity,"口是心非
兩面派
欺騙","0.876635824
0.876635824
0.876635824","2025-06-28
2025-06-28
2025-06-28"
249,salutary,"有益健康的
有益的","0.8742783232
0.8742783232","2025-06-22
2025-06-22"
250,schism,"分裂
宗派分裂
派系","0.8814592
0.8814592
0.8814592","2025-02-27
2025-02-27
2025-02-27"
251,consensus,"共識
一致意見","0.8928584704
0.8928584704","2025-06-22
2025-06-22"
252,insipid,"無味的
枯燥乏味的
缺乏個性的","0.8814592
0.8814592
0.8814592","2025-02-27
2025-02-27
2025-02-27"
253,consolidate,"鞏固
合併
加強
使堅固","0.907360768
0.907360768
0.907360768
0.907360768","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
254,detached,"分離的
超然的
客觀的
不介入的","0.9096832
0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
255,abstemious,"有節制的
禁慾的
飲食有度的","0.8406689186
0.8406689186
0.8406689186","2025-03-08
2025-03-08
2025-03-08"
256,intimidate,"恐嚇
威嚇
脅迫","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
257,monotonous,"單調乏味的
無聊的
缺乏變化的","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
258,intractable,"難駕馭的
難處理的
倔強的","0.90290944
0.90290944
0.90290944","2025-03-09
2025-03-09
2025-03-09"
259,evade,"逃避
規避
躲避","0.879675904
0.879675904
0.879675904","2025-02-27
2025-02-27
2025-02-27"
260,evanescent,"轉瞬即逝的
瞬間消失的
易逝的","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
261,vapid,"乏味的
無趣的
枯燥的","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
262,virtuosity,"精湛技藝
高超技巧
藝術才能","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
263,artful,"巧妙的
狡猾的
詭計多端的","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
264,astute,"敏銳的
精明的
機敏的","0.88436992
0.88436992
0.88436992","2025-06-22
2025-06-22
2025-06-22"
265,austere,"嚴峻的
樸素的
簡樸的
禁慾的","0.9096832
0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
266,avarice,"貪婪
貪財","0.9096832
0.9096832","2025-06-28
2025-06-28"
267,banal,"陳腐的
平庸的
老套的","0.8928584704
0.8928584704
0.8928584704","2025-06-22
2025-06-22
2025-06-22"
268,bland,"溫和的
乏味的
清淡的
無刺激性的","0.8928584704
0.8928584704
0.8928584704
0.8928584704","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
269,calamity,"災難
不幸事件
禍患","0.903232
0.903232
0.903232","2025-03-09
2025-03-09
2025-03-09"
270,contest,"競賽
爭奪
駁斥
質疑","0.903232
0.903232
0.903232
0.903232","2025-03-09
2025-03-09
2025-03-09
2025-03-09"
271,daunting,"令人氣餒的
使人畏懼的
艱鉅的","0.903232
0.903232
0.903232","2025-03-09
2025-03-09
2025-03-09"
272,downplay,"輕描淡寫
貶低
不予重視","0.903232
0.903232
0.903232","2025-03-09
2025-03-09
2025-03-09"
273,ebb,"退潮
衰退
減弱","0.870976
0.870976
0.870976","2025-06-22
2025-06-22
2025-06-22"
274,embody,"體現
具體表現
包含","0.870976
0.870976
0.870976","2025-06-22
2025-06-22
2025-06-22"
275,extraneous,"無關的
外部的
外來的","0.870976
0.870976
0.870976","2025-06-22
2025-06-22
2025-06-22"
276,fluctuate,"波動
起伏
變動","0.9129088
0.9129088
0.9129088","2025-06-28
2025-06-28
2025-06-28"
277,forbear,"克制
忍耐
避免","0.870976
0.870976
0.870976","2025-06-22
2025-06-22
2025-06-22"
278,hamper,"阻礙
妨礙
束縛","0.870976
0.870976
0.870976","2025-06-22
2025-06-22
2025-06-22"
279,impenetrable,"不可穿透的
難以理解的
費解的","0.90120448
0.90120448
0.90120448","2025-06-22
2025-06-22
2025-06-22"
280,indulgent,"縱容的
放縱的
寬容的","0.8967808
0.8967808
0.8967808","2025-06-22
2025-06-22
2025-06-22"
281,lament,"哀悼
悲嘆
悔恨","0.8967808
0.8967808
0.8967808","2025-06-22
2025-06-22
2025-06-22"
282,oblivious,"未察覺的
健忘的
不注意的","0.8967808
0.8967808
0.8967808","2025-06-22
2025-06-22
2025-06-22"
283,provincial,"地方的
省的
狹隘的
守舊的","0.8967808
0.8967808
0.8967808
0.8967808","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
284,quixotic,"堂吉訶德式的
不切實際的
理想主義的","0.8967808
0.8967808
0.8967808","2025-06-22
2025-06-22
2025-06-22"
285,stymie,"阻撓
妨礙
使陷入困境","0.90120448
0.90120448
0.90120448","2025-02-27
2025-02-27
2025-02-27"
286,unctuous,"油腔滑調的
虛情假意的
過於殷勤的","0.831539712
0.831539712
0.831539712","2025-06-28
2025-06-28
2025-06-28"
287,hierarchy,"層級制度
等級制度
階層","0.8928584704
0.8928584704
0.8928584704","2025-06-22
2025-06-22
2025-06-22"
288,callous,"無情的
冷酷的
麻木不仁的","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
289,precede,"在...之前
先於
領先","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
290,elicit,"引出
引起
誘出","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
291,clandestine,"秘密的
暗中的
隱蔽的","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
292,conciliatory,"和解的
調和的
安撫的","0.6764744704
0.6764744704
0.6764744704","2025-06-28
2025-06-28
2025-06-28"
293,aristocrat,"貴族
貴族成員","0.9096832
0.9096832","2025-06-28
2025-06-28"
294,discrepancy,"差異
不一致
矛盾","0.8490632522
0.8490632522
0.8490632522","2025-03-09
2025-03-09
2025-03-09"
295,discrete,"分離的
不連續的
單獨的","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
296,discretion,"謹慎
慎重
判斷力
自由決定權","0.88436992
0.88436992
0.88436992
0.88436992","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
297,culprit,"犯人
罪犯
問題的根源","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
298,curtail,"縮減
削減
限制","0.879675904
0.879675904
0.879675904","2025-02-27
2025-02-27
2025-02-27"
299,condone,"寬恕
赦免
默許
縱容","0.8831224
0.8831224
0.8831224
0.8831224","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
300,adroit,"靈巧的
熟練的
機敏的","0.8967808
0.8967808
0.8967808","2025-06-22
2025-06-22
2025-06-22"
301,aberrant,"越軌的
異常的
不符合常規的","0.8818048
0.8818048
0.8818048","2025-02-27
2025-02-27
2025-02-27"
302,efficacious,"有效的
奏效的","0.8967808
0.8967808","2025-06-22
2025-06-22"
303,multifaceted,"多方面的
多層次的
多面向的","0.71081216
0.71081216
0.71081216","2025-06-28
2025-06-28
2025-06-28"
304,profligate,"揮霍無度的
浪費的
放蕩的
不道德的","0.877271552
0.877271552
0.877271552
0.877271552","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
305,formative,"形成的
發展的
塑造的
有助於形成的","0.9096832
0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
306,discomfit,"使不安
使尷尬
使窘迫
挫敗","0.8846664704
0.8846664704
0.8846664704
0.8846664704","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
307,profound,"深奧的
深刻的
影響深遠的
淵博的","0.9096832
0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
308,genre,"類型
流派
體裁","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
309,congruent,"一致的
符合的
全等的 (幾何學)","0.8853142208
0.8853142208
0.8853142208","2025-06-22
2025-06-22
2025-06-22"
310,haphazard,"隨意的
雜亂無章的
偶然的","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
311,imperative,"極重要的
緊急的
必須的
命令式的
祈使句 (語法)","0.9056512
0.9056512
0.9056512
0.9056512
0.9056512","2025-06-22
2025-06-22
2025-06-22
2025-06-22
2025-06-22"
312,circuitous,"迂迴的
繞道的
不直接的","0.91081216
0.91081216
0.91081216","2025-06-28
2025-06-28
2025-06-28"
313,justify,"證明…是正當的
為…辯護
使…合理化
使對齊 (排版)","0.8554624
0.8554624
0.8554624
0.8554624","2025-03-09
2025-03-09
2025-03-09
2025-03-09"
314,proliferate,"迅速增加
激增
繁殖","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
315,allusive,"暗示的
影射的","0.9096832
0.9096832","2025-06-28
2025-06-28"
316,delude,"欺騙
迷惑","0.8912838042
0.8912838042","2025-06-22
2025-06-22"
317,luxuriant,"繁茂的
豐盛的
華麗的
豐富的","0.88304896
0.88304896
0.88304896
0.88304896","2025-02-27
2025-02-27
2025-02-27
2025-02-27"
318,demonstrable,"可證明的
可示範的
顯而易見的","0.71081216
0.71081216
0.71081216","2025-06-28
2025-06-28
2025-06-28"
319,amorphous,"無定形的
無組織的
非結晶的","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
320,demur,"異議
反對
躊躇","0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28"
321,negate,"否定
取消
使無效
反駁","0.9096832
0.9096832
0.9096832
0.9096832","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
322,neutral,"中立的
中性的
不偏不倚的","0.915328
0.915328
0.915328","2025-06-28
2025-06-28
2025-06-28"
323,ossify,"骨化
硬化
墨守成規","0.90171136
0.90171136
0.90171136","2025-02-27
2025-02-27
2025-02-27"
324,partial,"部分的
偏袒的
不完全的
偏愛的","0.91081216
0.91081216
0.91081216
0.91081216","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
325,empathy,"同理心
感同身受","0.915328
0.915328","2025-06-28
2025-06-28"
326,passivity,"被動性
消極性
順從","0.915328
0.915328
0.915328","2025-06-28
2025-06-28
2025-06-28"
327,impeccable,"無可挑剔的
完美的
無懈可擊的","0.915328
0.915328
0.915328","2025-06-28
2025-06-28
2025-06-28"
328,pejorative,"貶低的
輕蔑的
貶義詞","0.8425889014
0.8425889014
0.8425889014","2025-03-08
2025-03-08
2025-03-08"
329,euphemism,"委婉語
委婉說法","0.859696
0.859696","2025-03-09
2025-03-09"
330,implausible,"難以置信的
不太可能的","0.85780384
0.85780384","2025-06-28
2025-06-28"
331,apposite,"恰當的
合適的","0.915328
0.915328","2025-06-28
2025-06-28"
332,deprecate,"不贊成
反對
貶低
輕視","0.893177128
0.893177128
0.893177128
0.893177128","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
333,repress,"抑制
壓制
鎮壓","0.915328
0.915328
0.915328","2025-06-28
2025-06-28
2025-06-28"
334,primacy,"首位
首要性
至高無上","0.915328
0.915328
0.915328","2025-06-28
2025-06-28
2025-06-28"
335,irascible,"易怒的
暴躁的","0.915328
0.915328","2025-06-28
2025-06-28"
336,rudimentary,"基本的
初步的
未發展完全的","0.915328
0.915328
0.915328","2025-06-28
2025-06-28
2025-06-28"
337,salient,"顯著的
突出的
最重要的","0.91081216
0.91081216
0.91081216","2025-06-28
2025-06-28
2025-06-28"
338,ascendancy,"優勢
支配地位","0.915328
0.915328","2025-06-28
2025-06-28"
339,prescient,"有預知能力的
有先見之明的","0.8983733248
0.8983733248","2025-06-22
2025-06-22"
340,proscribe,"禁止
取締
宣佈為非法","0.8983733248
0.8983733248
0.8983733248","2025-06-22
2025-06-22
2025-06-22"
341,obsequious,"諂媚的
奉承的
阿諛奉承的","0.8925185352
0.8925185352
0.8925185352","2025-03-10
2025-03-10
2025-03-10"
342,obsolescent,"趨於廢棄的
過時的
逐漸被淘汰的","0.8100817024
0.8100817024
0.8100817024","2025-03-10
2025-03-10
2025-03-10"
343,speculate,"推測
猜測
投機","0.84191488
0.84191488
0.84191488","2025-03-08
2025-03-08
2025-03-08"
344,constant,"持續不斷的
經常發生的
穩定的
不變的
常數","0.89161984
0.89161984
0.89161984
0.89161984
0.89161984","2025-03-10
2025-03-10
2025-03-10
2025-03-10
2025-03-10"
345,obstinate,"固執的
頑固的
執拗的","0.84191488
0.84191488
0.84191488","2025-03-08
2025-03-08
2025-03-08"
346,presumptuous,"放肆的
自以為是的
冒昧的
專橫的","0.8753412169
0.8753412169
0.8753412169
0.8753412169","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
347,pertain,"關於
屬於
適合
與...有關","0.8469799936
0.8469799936
0.8469799936
0.8469799936","2025-03-08
2025-03-08
2025-03-08
2025-03-08"
348,temporal,"時間的
暫時的
世俗的
太陽穴的","0.88592176
0.88592176
0.88592176
0.88592176","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
349,epitome,"縮影
典型
概要
典範","0.8983733248
0.8983733248
0.8983733248
0.8983733248","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
350,treacherous,"背叛的
不忠的
危險的
不可靠的","0.8435281
0.8435281
0.8435281
0.8435281","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
351,circumvent,"規避
繞過
智取
避免","0.8967808
0.8967808
0.8967808
0.8967808","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
352,vindicate,"證明...無罪
辯護
維護
證明...是正當的","0.893656
0.893656
0.893656
0.893656","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
353,aversion,"厭惡
反感
不喜歡","0.849177088
0.849177088
0.849177088","2025-06-28
2025-06-28
2025-06-28"
354,advocate,"提倡者
擁護者
律師
提倡
主張","0.909604
0.909604
0.909604
0.909604
0.909604","2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28"
355,abet,"教唆
煽動
協助（犯罪）","0.851429888
0.851429888
0.851429888","2025-06-28
2025-06-28
2025-06-28"
356,allay,"減輕
緩和
消除（恐懼、疑慮等）","0.8967808
0.8967808
0.8967808","2025-06-22
2025-06-22
2025-06-22"
357,antidote,"解藥
矯正方法
對抗手段","0.88336
0.88336
0.88336","2025-06-28
2025-06-28
2025-06-28"
358,arduous,"費力的
艱鉅的
困難的","0.8542
0.8542
0.8542","2025-06-28
2025-06-28
2025-06-28"
359,compromise,"妥協
和解
折衷
損害
妥協方案","0.8542
0.8542
0.8542
0.8542
0.8542","2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28"
360,contempt,"輕蔑
蔑視
不屑
輕視
藐視法庭","0.89362
0.89362
0.89362
0.89362
0.89362","2025-06-22
2025-06-22
2025-06-22
2025-06-22
2025-06-22"
361,debunk,"揭穿
拆穿
駁斥
暴露…的虛假","0.8542
0.8542
0.8542
0.8542","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
362,exemplify,"是…的範例
舉例證明
示範
例證","0.84607
0.84607
0.84607
0.84607","2025-03-08
2025-03-08
2025-03-08
2025-03-08"
363,feign,"假裝
裝作
佯裝
虛報","0.8542
0.8542
0.8542
0.8542","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
364,forage,"覓食
搜尋糧草
搜羅
飼料
草料","0.89362
0.89362
0.89362
0.89362
0.89362","2025-06-22
2025-06-22
2025-06-22
2025-06-22
2025-06-22"
365,furtive,"鬼鬼祟祟的
偷偷摸摸的
隱密的
閃爍其詞的","0.71391636
0.71391636
0.71391636
0.71391636","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
366,futile,"徒勞的
無用的
白費的
沒有效果的","0.8500865313
0.8500865313
0.8500865313
0.8500865313","2025-03-09
2025-03-09
2025-03-09
2025-03-09"
367,layperson,"外行
門外漢
非專業人士
俗人 (非神職人員)","0.88336
0.88336
0.88336
0.88336","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
368,mercurial,"反覆無常的
易變的
水銀的
機敏的","0.754896
0.754896
0.754896
0.754896","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
369,override,"推翻
否決
凌駕
優先於
使無效
超越","0.9035875
0.9035875
0.9035875
0.9035875
0.9035875
0.9035875","2025-06-22
2025-06-22
2025-06-22
2025-06-22
2025-06-22
2025-06-22"
370,persistent,"堅持不懈的
持續的
執意的
頑固的","0.88336
0.88336
0.88336
0.88336","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
371,plaintive,"悲傷的
哀怨的
淒涼的
抱怨的","0.88585552
0.88585552
0.88585552
0.88585552","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
372,rebuff,"斷然拒絕
冷落
回絕
拒絕","0.88336
0.88336
0.88336
0.88336","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
373,redeem,"贖回
彌補
挽回
兌換
履行","0.88336
0.88336
0.88336
0.88336
0.88336","2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28"
374,revere,"尊敬
崇敬
敬畏","0.8956
0.8956
0.8956","2025-06-22
2025-06-22
2025-06-22"
375,savor,"品嚐
細細品味
享受
有…的味道或氣味
帶有…的風味","0.88336
0.88336
0.88336
0.88336
0.88336","2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28"
376,scruple,"顧忌
顧慮
道德上的不安
良心上的猶豫","0.8478709719
0.8478709719
0.8478709719
0.8478709719","2025-03-09
2025-03-09
2025-03-09
2025-03-09"
377,tedious,"冗長乏味的
單調乏味的
令人厭煩的","0.88336
0.88336
0.88336","2025-06-28
2025-06-28
2025-06-28"
378,reactionary,"反動的
保守的
反對改革的
反動分子
保守分子","0.88336
0.88336
0.88336
0.88336
0.88336","2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28"
379,nostalgia,"懷舊之情
思鄉病
戀舊","0.88336
0.88336
0.88336","2025-06-28
2025-06-28
2025-06-28"
380,exalt,"提拔
晉升
讚揚
歌頌
使崇高
使莊嚴","0.9035875
0.9035875
0.9035875
0.9035875
0.9035875
0.9035875","2025-06-22
2025-06-22
2025-06-22
2025-06-22
2025-06-22
2025-06-22"
381,unanimous,"一致同意的
全體一致的
無異議的","0.89362
0.89362
0.89362","2025-06-22
2025-06-22
2025-06-22"
382,adaptive,"適應性的
可適應的
有適應能力的","0.84568
0.84568
0.84568","2025-03-08
2025-03-08
2025-03-08"
383,authentic,"真正的
真實的
地道的
可信的
可靠的","0.7198336
0.7198336
0.7198336
0.7198336
0.7198336","2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28"
384,abate,"減輕
減少
緩和
平息","0.84568
0.84568
0.84568
0.84568","2025-03-08
2025-03-08
2025-03-08
2025-03-08"
385,hyperbole,"誇張法
誇飾法
誇張的言詞","0.92224
0.92224
0.92224","2025-02-27
2025-02-27
2025-02-27"
386,accentuate,"強調
使突出
使明顯
重讀","0.92224
0.92224
0.92224
0.92224","2025-02-27
2025-02-27
2025-02-27
2025-02-27"
387,cavalier,"漫不經心的
輕率的
傲慢的
騎士（尤指十七世紀英國內戰中支持查理一世的騎士黨人）","0.84568
0.84568
0.84568
0.84568","2025-03-08
2025-03-08
2025-03-08
2025-03-08"
388,deceive,"欺騙
蒙蔽
誤導","0.84568
0.84568
0.84568","2025-03-10
2025-03-10
2025-03-10"
389,supercilious,"傲慢的
輕蔑的
目空一切的","0.8956
0.8956
0.8956","2025-06-22
2025-06-22
2025-06-22"
390,precipitate,"使突然發生
促成
加速
沉澱物
降水
倉促的
魯莽的","0.830608
0.830608
0.830608
0.830608
0.830608
0.830608
0.830608","2025-03-10
2025-03-10
2025-03-10
2025-03-10
2025-03-10
2025-03-10
2025-03-10"
391,clairvoyance,"千里眼
超感官洞察力","0.84568
0.84568","2025-03-10
2025-03-10"
392,cognitive,"認知的
認識的","0.9028
0.9028","2025-03-09
2025-03-09"
393,irreconcilable,"不可調和的
矛盾的
不能和解的","0.8956
0.8956
0.8956","2025-06-22
2025-06-22
2025-06-22"
394,credulous,"輕信的
易受騙的","0.9028
0.9028","2025-03-09
2025-03-09"
395,discreet,"謹慎的
不引人注目的
審慎的","0.9028
0.9028
0.9028","2025-03-09
2025-03-09
2025-03-09"
396,cumbersome,"笨重的
難處理的
麻煩的","0.876457472
0.876457472
0.876457472","2025-06-28
2025-06-28
2025-06-28"
397,succumb,"屈服
最終死於","0.90928
0.90928","2025-06-28
2025-06-28"
398,discursive,"離題的
散漫的
推論的","0.9157393192
0.9157393192
0.9157393192","2025-03-07
2025-03-07
2025-03-07"
399,subdue,"征服
制服
抑制
減輕","0.925796224
0.925796224
0.925796224
0.925796224","2025-03-08
2025-03-08
2025-03-08
2025-03-08"
400,egalitarian,"平等主義的
平等主義者","0.858805888
0.858805888","2025-06-22
2025-06-22"
401,erratic,"不穩定的
不規則的
古怪的","0.8588081926
0.8588081926
0.8588081926","2025-06-22
2025-06-22
2025-06-22"
402,affable,"和藹可親的
友善的","0.82390345
0.82390345","2025-03-09
2025-03-09"
403,facile,"輕而易舉的
膚淺的
靈巧的","0.6730292313
0.6730292313
0.6730292313","2025-06-22
2025-06-22
2025-06-22"
404,fervent,"熱情的
熱烈的
熾熱的","0.89820271
0.89820271
0.89820271","2025-02-27
2025-02-27
2025-02-27"
405,configuration,"組態
配置
格局
形狀","0.904261888
0.904261888
0.904261888
0.904261888","2025-03-04
2025-03-04
2025-03-04
2025-03-04"
406,refute,"駁斥
反駁
批駁","0.920638144
0.920638144
0.920638144","2025-03-08
2025-03-08
2025-03-08"
407,gratify,"使高興
使滿意
滿足","0.9179472969
0.9179472969
0.9179472969","2025-06-28
2025-06-28
2025-06-28"
408,exhilarate,"使興高采烈
使心曠神怡","0.9200986498
0.9200986498","2025-03-08
2025-03-08"
409,humility,"謙遜
謙恭
卑微","0.7838111232
0.7838111232
0.7838111232","2025-03-04
2025-03-04
2025-03-04"
410,predilection,"偏愛
嗜好","0.9251579845
0.9251579845","2025-03-08
2025-03-08"
411,prolix,"冗長的
囉嗦的","0.8592164122
0.8592164122","2025-06-22
2025-06-22"
412,underline,"在…下面畫線
強調
使顯得重要","0.88336
0.88336
0.88336","2025-02-27
2025-02-27
2025-02-27"
413,eclipse,"日蝕
月蝕
使黯然失色
超越","0.88336
0.88336
0.88336
0.88336","2025-02-27
2025-02-27
2025-02-27
2025-02-27"
414,illusory,"虛幻的
產生幻覺的
騙人的","0.8596768
0.8596768
0.8596768","2025-06-22
2025-06-22
2025-06-22"
415,lackluster,"無光澤的
無生氣的
平淡無奇的","0.9230176
0.9230176
0.9230176","2025-03-08
2025-03-08
2025-03-08"
416,remarkable,"非凡的
引人注目的
值得注意的","0.9046144
0.9046144
0.9046144","2025-02-27
2025-02-27
2025-02-27"
417,remedy,"補救
療法
藥物
糾正","0.926128
0.926128
0.926128
0.926128","2025-03-08
2025-03-08
2025-03-08
2025-03-08"
418,symmetry,"對稱
勻稱","0.875512
0.875512","2025-03-10
2025-03-10"
419,prominent,"突出的
顯著的
傑出的
重要的","0.9174791744
0.9174791744
0.9174791744
0.9174791744","2025-03-07
2025-03-07
2025-03-07
2025-03-07"
420,communal,"共同的
社區的
公有的","0.9253504
0.9253504
0.9253504","2025-03-08
2025-03-08
2025-03-08"
421,misnomer,"錯誤的名稱
誤稱","0.926128
0.926128","2025-03-08
2025-03-08"
422,exonerate,"免除責任
宣告無罪
開脫","0.9231051678
0.9231051678
0.9231051678","2025-03-08
2025-03-08
2025-03-08"
423,synoptic,"概要的
提要的
概括的","0.8054512195
0.8054512195
0.8054512195","2025-06-28
2025-06-28
2025-06-28"
424,ornamental,"裝飾的
觀賞的","0.9230176
0.9230176","2025-03-08
2025-03-08"
425,parody,"模仿
拙劣的模仿
滑稽模仿作品","0.88336
0.88336
0.88336","2025-02-27
2025-02-27
2025-02-27"
426,peripatetic,"巡迴的
到處走的
漫遊的","0.8432535754
0.8432535754
0.8432535754","2025-03-10
2025-03-10
2025-03-10"
427,dispel,"驅散
消除
打消（疑慮）","0.851461804
0.851461804
0.851461804","2025-06-28
2025-06-28
2025-06-28"
428,penchant,"強烈傾向
嗜好
偏愛","0.767240704
0.767240704
0.767240704","2025-03-08
2025-03-08
2025-03-08"
429,euphoria,"狂喜
興奮感
欣快感","0.85874368
0.85874368
0.85874368","2025-06-22
2025-06-22
2025-06-22"
430,depict,"描繪
描述
表現","0.88336
0.88336
0.88336","2025-02-27
2025-02-27
2025-02-27"
